,Unnamed: 0,Id,Cultivo,Longitud,Latitud,Elevacion,Dataset,Campania,GlobalId,CultivoId,Tipo,class_idx
0,0,1,S,-62.144163246338266,-33.80020220924775,104.111862,BC,18/19,1,1,SOJA 1,0
1,1,4,M,-62.15541768921365,-33.80174165962358,105.698082,BC,18/19,4,3,MAIZ TEMP,2
2,2,6,N,-62.163615369826594,-33.80809159971218,104.233162,BC,18/19,6,10,CAMPO NATURAL,8
3,3,7,M,-62.16477323431994,-33.81367146108375,103.859932,BC,18/19,7,3,MAIZ TEMP,2
4,4,9,M,-62.09720026248786,-33.778627748600684,98.532104,BC,18/19,9,3,MAIZ TEMP,2
5,5,10,N,-62.09946967689482,-33.775894467381505,98.532104,BC,18/19,10,10,CAMPO NATURAL,8
6,6,14,S,-62.13119516401269,-33.7892713153716,103.085487,BC,18/19,14,1,SOJA 1,0
7,7,15,S,-62.14022650706085,-33.79708473742619,101.863167,BC,18/19,15,1,SOJA 1,0
8,8,23,S,-62.20742896225508,-33.844642692435954,115.140739,BC,18/19,23,1,SOJA 1,0
9,9,25,N,-62.17222988165713,-33.81601874228309,103.58934,BC,18/19,25,10,CAMPO NATURAL,8
10,10,26,N,-62.17375826278836,-33.81297880842235,103.58934,BC,18/19,26,10,CAMPO NATURAL,8
11,11,27,N,-62.17422140858571,-33.81782725927307,103.561348,BC,18/19,27,10,CAMPO NATURAL,8
12,12,28,A,-62.17727817084816,-33.81444106857418,103.561348,BC,18/19,28,15,AGUA,10
13,13,30,M,-62.18371589743121,-33.81686528691121,103.253433,BC,18/19,30,3,MAIZ TEMP,2
14,14,33,S,-62.052854052392426,-33.75454492603374,102.544304,BC,18/19,33,1,SOJA 1,0
15,15,34,M,-62.05540135427779,-33.75200341815144,102.544304,BC,18/19,34,3,MAIZ TEMP,2
16,16,38,P,-62.07987860966729,-33.765653511638085,100.799461,BC,18/19,38,9,"FORRAJES, PASTURAS, VERDEOS",7
